song_id,gt_valence_mean,gt_arousal_mean,gt_valence_std,gt_arousal_std,mixed_valence_mean,mixed_arousal_mean,mixed_valence_std,mixed_arousal_std,sep_valence_mean,sep_arousal_mean,sep_valence_std,sep_arousal_std
210,0.725,0.8125,0.134629120178,0.100778221854,0.7070909090909102,0.75947727272726,0.16091004487816601,0.1256550674796159,0.6951363636363601,0.72807386363636,0.15651023388457605,0.12933964345023397
713,0.7375,0.6875,0.1625,0.160565407233,0.6314772727272802,0.6196249999999899,0.1534632245452069,0.147071695356224,0.5997954545454501,0.5565681818181898,0.16328990027126902,0.14884286680356193
608,0.5625,0.6375,0.211024287702,0.141972708645,0.5491136363636504,0.5623863636363499,0.17540668132244103,0.16152503109782101,0.5576732954545499,0.5324204545454498,0.160773457957802,0.154697759406949
522,0.4625,0.5375,0.158607219256,0.1375,0.4705416666666666,0.47127651515150326,0.17197196142591595,0.17620089525937666,0.4477272727272801,0.43588636363636013,0.17004659178843795,0.17436653879787703
469,0.7125,0.7125,0.1125,0.0976281209488,0.6873409090909098,0.7371931818181902,0.14938797211170735,0.1289166163421056,0.68514772727272,0.7282500000000001,0.15204212740823003,0.13117321140477697
490,0.6875,0.825,0.178972763291,0.18708286933899998,0.5646477272727193,0.6910227272727196,0.19935369608020018,0.14990102653096515,0.562166666666666,0.7052499999999996,0.19516297901194346,0.1439147855542991
443,0.675,0.7,0.15,0.12747548784,0.5165681818181799,0.5760909090909102,0.17363440062319208,0.16134284072975993,0.5275681818181798,0.55107954545454,0.16333350368968097,0.15836892499246602
174,0.534090909091,0.477272727273,0.160706086633,0.167010664281,0.74273863636363,0.8416250000000002,0.15586272360031603,0.11593662609011995,0.73726136363636,0.8287386363636405,0.15722387783699096,0.11453772521426901
588,0.775,0.7,0.15612494995999998,0.0829156197589,0.5843068181818201,0.56319318181818,0.16528945386533794,0.154290739128511,0.5553409090909202,0.5429204545454498,0.16929621524788593,0.15795021277951196
222,0.35,0.6625,0.10897247358899999,0.168170300588,0.48367045454546004,0.3480000000000001,0.18074663959984094,0.16163085420851103,0.5353750000000098,0.4365909090909002,0.17819011401978313,0.15906018177490203
748,0.4625,0.3625,0.17721808598400002,0.141972708645,0.4266590909090898,0.42120454545455,0.17684724110754999,0.16582414148689006,0.42694318181818,0.4261250000000099,0.17706928894373092,0.17350620579954995
860,0.6375,0.675,0.21972994789099998,0.160078105936,0.7363030303030266,0.81698863636364,0.15280626113377432,0.11811358038713302,0.7256136363636303,0.8011363636363599,0.14854785766929499,0.12596333703749496
177,0.5375,0.55,0.17721808598400002,0.225,0.6040909090909099,0.6128636363636397,0.17713600115169698,0.16434262751138504,0.6149431818181799,0.6252613636363696,0.162474305969427,0.15581572620986195
319,0.5,0.7375,0.14790199457699998,0.130503831361,0.6874090909090801,0.7279090909090804,0.16103926513603503,0.13563352053401892,0.6427045454545401,0.6962159090909,0.15674138298669538,0.1364869954824157
549,0.3125,0.4375,0.21830311495700008,0.178972763291,0.6281477272727302,0.6621818181818199,0.15461110873943895,0.14403929558604195,0.6634545454545497,0.7256931818181898,0.16065619182111301,0.13673096272685697
925,0.6125,0.5875,0.103832798286,0.168170300588,0.6616090909090897,0.73119318181818,0.16757533346828604,0.1364307307180779,0.7067159090909104,0.7640795454545501,0.15442013093701001,0.124608558894964
